name,populationFemale,populationMale,populationUrban,adultLiteracy,educationExpenditure,gILGenderEquality,maternalMortalityRate,educationIndex,healthIndex,humanDevelopmentIndex,healthExpendature,lifeExpectancy,carbonDioxideInTons,endangeredSpeciesPercent,forrestAreaInThousandsOfHectares
Poland,"19,828.27","18,470.68",60.9,99.5,,0.164,6,0.822,0.885,0.813,4.6,76.1,8.3,5,"9,282"
Portugal,"5,510.16","5,179.51",61.3,94.9,,0.14,7,0.739,0.938,0.809,7.1,79.5,5.3,19,"3,448"
Qatar,450.58,"1,419.47",95.9,94.7,,0.549,8,0.623,0.921,0.831,2.9,78.4,53.5,8,0
Romania,"11,037.36","10,399.13",58,97.7,,0.333,27,0.831,0.851,0.781,3.8,74,4.4,9,"6,500"
Russian Federation,"76,772.97","66,062.59",73.2,99.6,,0.338,39,0.784,0.77,0.755,3.5,68.8,12.1,9,"808,970"
Rwanda,"5,569.07","5,373.88",19.2,70.7,,0.453,540,0.407,0.559,0.429,4.9,55.4,0.1,6,415
Saint Kitts and Nevis,,,32.6,,,,,0.693,0.838,0.735,3.4,73.1,4.9,8,11
Saint Lucia,90.37,85.67,28.1,,4.5,,,0.693,0.862,0.723,3.4,74.6,2.3,9,47
Saint Vincent and the Grenadines,54.16,55.21,49.8,,6.6,,,0.712,0.825,0.717,3.3,72.3,1.9,8,27
Samoa,88.93,94.94,20.1,98.8,,,,0.75,0.827,0.688,4.2,72.4,0.9,12,171
San Marino,,,94.1,,,,,,0.975,,6.1,81.8,,0,0
Sao Tome and Principe,85.05,83.48,63,88.8,,,,0.452,0.705,0.509,5.3,64.7,0.8,,27
Saudi Arabia,"12,575.93","15,506.62",82.3,86.1,,0.646,24,0.689,0.85,0.77,2.7,73.9,17.2,9,977
Senegal,"6,435.19","6,332.36",42.7,49.7,5.8,0.566,410,0.385,0.62,0.459,3.2,59.3,0.4,6,"8,553"
Serbia,"4,976.41","4,877.56",56.4,97.8,,,8,0.79,0.86,0.766,6.1,74.5,5.1,7,"2,618"
Seychelles,,,55.9,91.8,,,,0.747,0.845,0.773,3.6,73.6,8.1,18,41
Sierra Leone,"3,066.06","2,931.43",38.8,40.9,4.3,0.662,970,0.304,0.438,0.336,1.4,47.8,0.3,7,"2,765"
Singapore,"2,572.71","2,615.23",100,94.7,3,0.086,9,0.751,0.964,0.866,1,81.1,7,17,2
Slovakia,"2,810.87","2,660.64",54.9,,,0.194,6,0.875,0.875,0.834,5.2,75.4,7,5,"1,933"
Slovenia,"1,039.10",995.91,49.5,99.7,,0.175,18,0.933,0.936,0.884,5.6,79.3,8.5,13,"1,249"
Solomon Islands,266.74,285.52,18.9,,,,100,0.427,0.755,0.51,4.3,67.9,0.4,17,"2,224"
Somalia,"4,816.93","4,739.94",37.9,,,,"1,200",,0.492,,,51.2,0.1,7,"6,901"
South Africa,"25,457.61","25,002.37",62.2,,5.4,0.49,410,0.705,0.517,0.619,3.6,52.8,8.8,15,"9,241"
Spain,"23,507.44","22,947.46",77.6,97.7,,0.117,6,0.874,0.969,0.878,6.1,81.4,7.4,16,"17,821"
Sri Lanka,"10,661.96","10,383.44",14.3,,,0.419,39,0.68,0.867,0.691,2,74.9,0.6,19,"1,889"
